path,year,wordcount,importance,pride,n_tags,tags
2019-06-14-open-uni.markdown,2019,2380,3,,3,maths;review;uni
2019-06-14-standard-meta.markdown,2019,241,2,,0,
2019-06-23-selfexperimentation.markdown,2019,51,,,0,
2019-06-26-data-fumes.markdown,2019,77,7,,0,
2019-06-26-libya.markdown,2019,658,7,,0,
2019-06-26-private-and-social-costs-of-education.markdown,2017,4090,6,,3,education;economics;meaning
2019-06-27-inhabiting-a-corporation.markdown,2019,5330,4,,0,
2019-06-27-my-process.markdown,2019,4386,7,,0,
2019-06-27-revolutionary-nonacademics.markdown,2019,118,7,,0,
2019-08-27-concrete-books.markdown,2019,214,7,,0,
2019-08-27-why-ais.markdown,2018,923,9,,0,
2019-08-28-ais-calculator.markdown,2019,877,9,,0,
2019-09-03-odusseia.markdown,2019,1847,2,,2,review;literature
2019-09-28-on-oai5.markdown,2019,447,6,,0,
2019-11-28-computational-platonism.markdown,2019,434,2,,2,metaphysics;cs
2019-12-10-supplements.markdown,2019,968,4,,3,quantified-self;biology;rationality
2020-06-14-anime.markdown,2020,3140,,,1,subculture
2020-08-01-national-sounds.markdown,2020,8962,2,,2,music;lists
2020-1-13-mindless-virtue.markdown,2020,45,4,,0,
2020-1-13-philoecon.markdown,2012,3811,4,,0,
2020-1-16-age.markdown,2015,571,6,,0,
2020-1-16-uncritical.markdown,2020,549,5,,3,rationality;uni;social-science
2020-1-25-procrastination.markdown,2018,1537,,,2,review;self-help
2020-1-25-psychology-debunked.markdown,2020,6958,5,,4,long-content;science;psychology;lists
2020-10-01-better-maths.markdown,2020,1251,5,,3,tools-for-thought;maths;academia
2020-10-01-nietzsche-metab.markdown,2020,641,5,,1,health
2020-10-10-spooky-data.md,2021,120,,,0,
2020-10-15-boys-of-summer.markdown,2020,323,5,,0,
2020-10-15-graphs.markdown,2020,1142,5,,2,maths;tools-for-thought
2020-11-14-cummings.markdown,2020,211,5,,0,
2020-12-2-adventure-time.markdown,2020,1196,2,,2,fun;meaning
2020-12-28-irony-and-sincerity.markdown,2021,1645,5,3,2,meaning;philosophy
2020-2-08-watts-tumor.markdown,2020,1692,6,,3,review;epistemology;replication
2020-2-22-starting-strength.markdown,2020,1959,5,,3,review;philosophy;mental-health
2020-3-01-ilp-notes.markdown,2020,3428,4,,1,ai
2020-4-20-emobots.markdown,2020,1579,7,,4,ai;predictions;biology;economics
2020-4-22-map-rl-games.markdown,2020,533,7,,6,rl;game-theory;economics;rosetta-stone;lists;encompassing
2020-5-27-ai-ethics.markdown,2020,2386,9,,3,ai;ethics;longtermism
2020-5-27-ignorance.markdown,2020,2338,7,,4,research;writing;self-help;phd
2020-6-12-ml-benchmark-graphs.markdown,2022,24,8,,1,machine-learning
2020-6-7-self-help-hard-soft.markdown,2020,464,5,,2,self-help;rationality
2020-7-28-academia-and-safety.markdown,2020,2622,9,,2,ai;academia
2020-7-7-serious-sf.markdown,2020,47,,,0,
2020-8-17-banks-culture.markdown,2020,4555,9,,5,longtermism;scifi;meaning;suffering;ethics
2020-8-22-blogs-and-essays.markdown,2020,2504,6,,4,longtermism;self-representation;writing;lists
2020-8-22-measurement.markdown,2020,1414,6,,3,lists;science;quantification
2020-8-22-nice-stuff.markdown,2020,3278,4,,4,self-help;lists;quantification;becoming
2020-8-22-stims.markdown,2020,1500,5,,3,self-help;quantified-self;biology
2020-8-22-the-cdt.markdown,2020,0,,,0,
2020-9-22-nihil-and-ego.markdown,2020,385,,,0,
2020-9-22-nonstem-greats.markdown,2020,796,5,,3,social-science;lists;quantification
2021-03-01-the-true-sceptic.markdown,2021,1632,5,,4,philosophy;ethics-of-belief;epistemology;becoming
2021-03-16-lgfo.markdown,2021,648,3,,2,ai;ethics
2021-03-17-ai-risk-basics.markdown,2021,2905,9,,2,ai;xrisk
2021-04-23-trompettes.markdown,2021,1398,2,,3,music;art;death
2021-06-19-covid-masks.markdown,2021,371,7,,3,code;science;research
2021-06-4-gists.markdown,2021,729,4,,2,code;science
2021-07-10-music-against-internet.markdown,2022,2605,5,,4,music;art;subculture;lists
2021-1-14-unthinking-meat.markdown,2021,285,,,2,fiction;rationality
2021-10-30-cultural codes.md,2021,3813,6,,4,art;meaning;philosophy;subculture
2021-10-30-ea-origin.md,2021,212,,,0,
2021-11-10-fermi.md,2021,847,10,,5,longtermism;philosophy;scifi;rationality;science
2021-11-29-terra-ignota.md,2021,6101,7,,3,literature;meaning;longtermism
2021-11-30-maths.md,2021,389,6,,1,maths
2021-11-30-whey.md,2021,849,,,0,
2021-12-30-failed-epistemics.md,2021,71,,,0,
2021-12-30-linalg.md,2021,69,,,0,
2021-12-30-xmas.md,2021,197,3,,3,fiction;meaning;longtermism
2022-01-30-brussell.md,2017,0,,,0,
2022-01-30-framsey.md,2022,4716,8,,3,longtermism;greats;philosophy
2022-01-30-peirce.md,2022,0,,,1,greats
2022-01-30-vonneumann.md,2022,2376,8,,1,greats
2022-02-01-history.md,2012,121,,,0,
2022-02-01-roi.md,2022,398,6,,2,econ;history
2022-02-20-damn.md,2022,797,7,,3,death;meaning;longtermism
